[0.3973243, -1.0]
[0.39751193, -1.0]
[0.3978532, -1.0]
[0.39776137, -1.0]
[0.39867872, -0.9999999]
[0.39890242, -1.0]
[0.39848077, -1.0]
[0.39910936, -0.99999994]
[0.39944404, -1.0]
[0.3989333, -0.9999999]
[0.39797297, -1.0]
[0.39779648, -1.0]
[0.398512, -1.0]
[0.39833045, -0.99999994]
[0.39754304, -1.0]
[0.39753592, -1.0]
[0.3987054, -0.99999994]
[0.39968783, -1.0]
[0.3992536, -0.99999994]
[0.39870238, -0.9999999]
[0.3991104, -1.0]
[0.39966503, -1.0]
[0.40029827, -1.0000001]
[0.40053037, -1.0]
[0.40063947, -1.0]
[0.40122032, -1.0000002]
[0.40100423, -1.0]
[0.40115178, -1.0]
[0.40135828, -0.99999994]
[0.40056998, -1.0]
[0.40062317, -0.99999994]
[0.4010545, -1.0]
[0.40071708, -1.0000001]
[0.40066522, -1.0]
[0.40049085, -0.99999994]
[0.40006834, -0.99999994]
[0.40063465, -1.0]
[0.40040272, -0.99999994]
[0.40063474, -1.0]
[0.40168005, -0.99999994]
[0.40080094, -1.0]
[0.4004382, -1.0]
[0.40121758, -0.99999994]
[0.40170366, -1.0]
[0.40172452, -1.0]
[0.4014789, -1.0]
[0.40130764, -1.0]
[0.40116334, -0.99999994]
[0.40150046, -1.0]
[0.40160385, -1.0000001]
[0.4018363, -1.0]
[0.4020359, -1.0]
[0.40160233, -0.99999994]
[0.4014221, -0.99999994]
[0.4010843, -1.0]
[0.40130028, -1.0]
[0.40182668, -1.0000002]
[0.40152702, -1.0]
[0.40151727, -0.99999994]
[0.40199423, -1.0]
[0.4023124, -1.0]
[0.40222296, -1.0]
[0.40221137, -0.99999994]
[0.40278515, -0.99999994]
[0.40323752, -1.0]
[0.4029446, -0.99999994]
[0.402865, -1.0]
[0.4028638, -1.0]
[0.40227398, -0.9999999]
[0.40243527, -1.0]
[0.40239865, -1.0]
[0.4018277, -0.99999994]
[0.40163553, -0.9999999]
[0.40111274, -1.0000001]
[0.40136534, -0.99999994]
[0.4017474, -1.0]
[0.40107656, -1.0]
[0.4010553, -1.0]
[0.4013974, -1.0]
[0.40128806, -1.0]
[0.40151307, -1.0]
[0.40165323, -1.0]
[0.40156835, -1.0]
[0.40214178, -1.0]
[0.40247685, -1.0]
[0.40223065, -1.0]
[0.40192813, -0.99999994]
[0.40123433, -1.0]
[0.40120047, -1.0]
[0.4013669, -1.0]
[0.4010026, -1.0]
[0.4007433, -1.0]
[0.40062124, -1.0]
[0.4017141, -1.0]
[0.4026352, -1.0]
[0.40244007, -1.0]
[0.40278798, -1.0]
[0.40293568, -0.9999999]
[0.4029094, -1.0000001]
[0.40326416, -1.0]
[0.40318632, -1.0]
[0.4033969, -1.0]
[0.40402132, -0.99999994]
[0.4038055, -0.99999994]
[0.40387288, -1.0]
[0.40470892, -0.99999994]
[0.40416607, -0.99999994]
[0.40294123, -1.0]
[0.40297163, -1.0]
[0.4035709, -0.99999994]
[0.40367287, -1.0000002]
[0.40349948, -1.0]
[0.40382057, -1.0]
[0.40420282, -0.9999999]
[0.40352958, -1.0]
[0.40306097, -0.99999994]
[0.40365893, -1.0]
[0.40328187, -1.0]
[0.40298837, -1.0]
[0.403833, -0.99999994]
[0.4041924, -1.0]
[0.40469998, -1.0]
[0.40437526, -0.99999994]
[0.40351114, -0.9999999]
[0.4041761, -1.0]
[0.4046135, -1.0]
[0.40464258, -1.0]
[0.40431735, -1.0]
[0.403673, -1.0]
[0.40418193, -0.99999994]
[0.4049005, -1.0000001]
[0.4051034, -0.9999999]
[0.4044968, -1.0]
[0.40407437, -1.0]
[0.40460628, -1.0]
[0.40508416, -1.0]
[0.4056313, -1.0]
[0.40592447, -1.0]
[0.40603596, -0.99999994]
[0.40613547, -1.0]
[0.40588698, -1.0]
[0.40522397, -1.0]
[0.40525854, -1.0]
[0.4057306, -1.0]
[0.40522105, -1.0]
[0.40516815, -1.0]
[0.4052241, -1.0]
[0.40479714, -1.0]
[0.40472195, -1.0]
[0.40485716, -1.0]
[0.4046492, -1.0]
[0.40459839, -0.9999999]
[0.40472236, -1.0]
[0.4046626, -1.0]
[0.40520903, -0.99999994]
[0.4054454, -1.0]
[0.40570098, -0.9999999]
[0.4055251, -1.0]
[0.40501082, -1.0]
[0.40495095, -1.0]
[0.4042212, -0.99999994]
[0.40389884, -1.0]
[0.4040435, -1.0]
[0.4037933, -0.99999994]
[0.40352148, -1.0]
[0.4038, -0.99999994]
[0.4039194, -0.9999999]
[0.40366328, -1.0]
[0.4035037, -1.0]
[0.4030623, -1.0000001]
[0.4030434, -1.0]
[0.40323475, -1.0]
[0.40345848, -1.0000002]
[0.40410313, -1.0]
[0.40410823, -1.0]
[0.40367168, -0.99999994]
[0.40343148, -1.0]
[0.40321195, -0.99999994]
[0.40324253, -1.0]
[0.40346897, -1.0000001]
[0.40404138, -1.0]
[0.4045871, -0.99999994]
[0.40471298, -0.99999994]
[0.40483612, -1.0]
[0.4050175, -0.99999994]
[0.40517724, -1.0]
[0.40518454, -0.99999994]
[0.40470308, -1.0]
[0.40415913, -1.0]
[0.40443328, -0.99999994]
[0.4051056, -1.0]
[0.4053602, -1.0]
[0.40527827, -1.0]
[0.4053581, -1.0]
[0.40586874, -0.99999994]
[0.40567344, -1.0]
[0.4048359, -1.0000001]
[0.4051346, -1.0]
[0.4056324, -1.0]
[0.40628216, -0.99999994]
[0.40740097, -0.99999994]
[0.40728664, -1.0]
[0.40697196, -1.0]
[0.40692204, -1.0000002]
[0.40619156, -1.0]
[0.40552813, -0.99999994]
[0.40540534, -1.0]
[0.40550005, -1.0]
[0.40542373, -1.0]
[0.40589392, -0.99999994]
[0.40600866, -0.99999994]
[0.40575904, -1.0]
[0.40587655, -0.99999994]
[0.40519413, -1.0]
[0.40532482, -1.0]
[0.40467253, -0.9999999]
[0.4038841, -1.0]
[0.40515876, -1.0]
[0.40546623, -0.99999994]
[0.4057575, -0.9999999]
[0.40625486, -1.0000001]
[0.40588558, -0.99999994]
[0.40505433, -1.0]
[0.40426397, -1.0]
[0.40399277, -1.0]
[0.40428677, -1.0]
[0.4051098, -1.0]
[0.40527993, -1.0]
[0.4052543, -1.0]
[0.40538692, -1.0]
[0.40539807, -1.0]
[0.405317, -1.0]
[0.4053195, -1.0]
[0.40544277, -0.99999994]
[0.405613, -1.0]
[0.40604925, -1.0]
[0.40623963, -1.0]
[0.40614772, -1.0]
[0.4059457, -1.0]
[0.4063922, -1.0]
[0.4065531, -1.0]
[0.40558565, -1.0]
[0.4055843, -1.0]
[0.40595812, -1.0]
[0.40548208, -0.9999999]
[0.40554264, -1.0000001]
[0.4058133, -1.0]
[0.40570566, -1.0]
[0.40588176, -1.0]
[0.4053458, -0.99999994]
[0.4046791, -0.99999994]
[0.40497744, -1.0]
[0.4052532, -0.99999994]
[0.40530643, -0.99999994]
[0.40491188, -1.0]
[0.4050186, -1.0]
[0.40575242, -0.99999994]
[0.4059717, -1.0000002]
[0.4060179, -1.0]
[0.4056781, -1.0]
[0.4061041, -0.9999999]
[0.4065386, -1.0]
[0.40559232, -0.99999994]
[0.4055637, -1.0]
[0.405985, -1.0]
[0.40607843, -1.0]
[0.40650743, -0.99999994]
[0.40636426, -1.0]
[0.40631378, -1.0]
[0.40625268, -0.99999994]
[0.4057681, -0.9999999]
[0.406017, -1.0]
[0.40586448, -1.0]
[0.40550035, -1.0]
[0.40538383, -1.0]
[0.40481275, -1.0]
[0.40485173, -0.99999994]
[0.40503043, -1.0000001]
[0.40527964, -0.9999999]
[0.4059505, -1.0]
[0.4063288, -1.0]
[0.405955, -1.0]
[0.40532652, -1.0]
[0.40499508, -1.0]
[0.40489608, -1.0]
[0.40517694, -0.99999994]
[0.40490043, -1.0]
[0.40478477, -1.0]
[0.40506792, -1.0]
[0.4052769, -1.0]
[0.4055518, -1.0]
[0.40551344, -1.0]
[0.4058193, -1.0]
[0.40560076, -1.0]
[0.40558237, -1.0]
[0.40624624, -1.0]
[0.40625188, -1.0]
[0.40645242, -1.0]
[0.40646845, -0.9999999]
[0.4063357, -1.0]
[0.40629694, -1.0]
[0.40552866, -0.99999994]
[0.40512073, -1.0]
[0.4051139, -0.9999999]
[0.40513167, -1.0]
[0.4057821, -1.0]
[0.40593684, -1.0]
[0.40554285, -0.99999994]
[0.40539262, -1.0]
[0.40520647, -1.0]
[0.40522206, -0.99999994]
[0.40539515, -1.0]
[0.4056044, -0.99999994]
[0.40595007, -0.9999999]
[0.4064645, -1.0]
[0.40649116, -1.0]
[0.40649524, -1.0000001]
[0.4069048, -1.0]
[0.40711406, -1.0]
[0.40720356, -1.0000002]
[0.40688622, -1.0]
[0.4070719, -1.0]
[0.40697142, -0.99999994]
[0.4066967, -1.0]
[0.4072777, -0.99999994]
[0.40709063, -1.0]
[0.40679845, -1.0000001]
[0.40688258, -1.0]
[0.40701932, -0.99999994]
[0.40726644, -0.99999994]
[0.40732163, -1.0]
[0.40733844, -0.99999994]
[0.4078683, -1.0]
[0.4084894, -0.99999994]
[0.40853673, -1.0]
[0.40861794, -1.0]
[0.40854734, -0.99999994]
[0.4084926, -1.0]
[0.4082896, -1.0]
[0.40825742, -1.0]
[0.40862095, -1.0]
[0.40883988, -0.99999994]
[0.40901265, -1.0]
[0.4080802, -1.0000001]
[0.40722823, -1.0]
[0.40682366, -1.0]
[0.4069276, -0.99999994]
[0.4078297, -0.99999994]
[0.40752432, -1.0]
[0.4075099, -1.0]
[0.40782046, -1.0000002]
[0.40792945, -1.0]
[0.4088605, -0.99999994]
[0.40893403, -1.0]
[0.40854067, -1.0]
[0.40828797, -1.0]
[0.40809137, -0.99999994]
[0.40839943, -0.99999994]
[0.4084738, -1.0]
[0.4084858, -0.99999994]
[0.40813917, -1.0]
[0.4073435, -1.0]
[0.40675876, -0.9999999]
[0.40657118, -1.0]
[0.40681902, -1.0]
[0.40684062, -0.99999994]
[0.40667498, -0.9999999]
[0.40685603, -1.0000001]
[0.40661573, -0.99999994]
[0.40623927, -1.0]
[0.4065367, -1.0]
[0.40639812, -1.0]
[0.40612525, -1.0]
[0.40578398, -1.0]
[0.40552136, -1.0]
[0.40581596, -1.0]
[0.4059977, -1.0]
[0.40671882, -1.0]
[0.4072742, -1.0]
[0.40726107, -1.0]
[0.40775263, -0.99999994]
[0.4083211, -1.0]
[0.40796036, -1.0]
[0.40730822, -1.0]
[0.40740457, -1.0]
[0.4080987, -1.0]
[0.4084116, -1.0]
[0.40801063, -1.0]
[0.40809387, -1.0]
[0.40776452, -1.0]
[0.4073372, -1.0]
[0.40789512, -0.9999999]
[0.40784612, -1.0000001]
[0.40766704, -1.0]
[0.40795216, -1.0]
[0.408102, -1.0]
[0.40795562, -0.99999994]
[0.40764612, -0.99999994]
[0.4072716, -1.0]
[0.4068329, -0.99999994]
[0.4067117, -0.99999994]
[0.4068797, -1.0]
[0.40707868, -1.0]
[0.40726066, -0.99999994]
[0.40792662, -1.0000002]
[0.4080319, -1.0]
[0.40744573, -1.0]
[0.4081851, -0.9999999]
[0.4085814, -1.0]
[0.4078292, -0.99999994]
[0.4075089, -1.0]
[0.40744743, -1.0]
[0.4078865, -1.0]
[0.40794712, -0.99999994]
[0.40719667, -1.0]
[0.40716863, -1.0]
[0.40728372, -0.99999994]
[0.4068367, -0.9999999]
[0.40702963, -1.0]
[0.4069214, -1.0]
[0.40650582, -1.0]
[0.40718308, -1.0]
[0.40713942, -1.0]
[0.4068412, -0.99999994]
[0.40738288, -1.0000001]
[0.40769446, -0.9999999]
[0.4079792, -1.0]
[0.40797272, -1.0]
[0.40780705, -1.0]
[0.4079733, -1.0]
[0.40772483, -1.0]
[0.40770432, -1.0]
[0.40851498, -0.99999994]
[0.40894747, -1.0]
[0.4088832, -1.0]
[0.40827978, -1.0]
[0.40771514, -1.0]
[0.40778863, -1.0]
[0.4074574, -1.0]
[0.40728754, -1.0]
[0.40784338, -1.0]
[0.40812224, -1.0]
[0.40797853, -1.0]
[0.40826416, -1.0]
[0.40825185, -1.0]
[0.40798295, -0.9999999]
[0.40811238, -1.0]
[0.40746725, -1.0]
[0.40711808, -0.99999994]
[0.4072058, -1.0]
